geo_codes,country,week,deaths,year,date,deaths_per_day,avg_deaths,excess_deaths,excess_deaths_prc
DE,Germany,11,16227.0,2000,2000-03-13,2318.1428571428573,20454.0,-4227.0,-20.66588442358463
EE,Estonia,11,369.0,2000,2000-03-13,52.714285714285715,319.25,49.75,15.58339859044636
ES,Spain,11,6647.0,2000,2000-03-13,949.5714285714286,8446.0,-1799.0,-21.300023679848447
HR,Croatia,11,954.0,2000,2000-03-13,136.28571428571428,1063.0,-109.0,-10.253998118532454
LV,Latvia,11,660.0,2000,2000-03-13,94.28571428571429,592.0,68.0,11.486486486486488
LT,Lithuania,11,851.0,2000,2000-03-13,121.57142857142857,800.25,50.75,6.3417681974383004
LU,Luxembourg,11,60.0,2000,2000-03-13,8.571428571428571,81.0,-21.0,-25.925925925925924
HU,Hungary,11,2587.0,2000,2000-03-13,369.57142857142856,2692.25,-105.25,-3.9093694864889965
NL,Netherlands,11,2679.0,2000,2000-03-13,382.7142857142857,3215.75,-536.75,-16.691285081240768
AT,Austria,11,1528.0,2000,2000-03-13,218.28571428571428,1699.0,-171.0,-10.064743967039435
PL,Poland,11,6996.0,2000,2000-03-13,999.4285714285714,8297.0,-1301.0,-15.68036639749307
PT,Portugal,11,1966.0,2000,2000-03-13,280.85714285714283,2267.0,-301.0,-13.277459197176885
SI,Slovenia,11,374.0,2000,2000-03-13,53.42857142857143,436.0,-62.0,-14.220183486238533
SK,Slovakia,11,953.0,2000,2000-03-13,136.14285714285714,1080.75,-127.75,-11.820495026601897
FI,Finland,11,967.0,2000,2000-03-13,138.14285714285714,1116.75,-149.75,-13.409447056189835
SE,Sweden,11,1751.0,2000,2000-03-13,250.14285714285714,1891.75,-140.75,-7.4402008722082735
NO,Norway,11,821.0,2000,2000-03-13,117.28571428571429,826.75,-5.75,-0.6954944058058663
CH,Switzerland,11,1222.0,2000,2000-03-13,174.57142857142858,1350.25,-128.25,-9.498241066469172
BE,Belgium,12,1931.0,2000,2000-03-20,275.85714285714283,2307.75,-376.75,-16.325425197703392
BG,Bulgaria,12,2306.0,2000,2000-03-20,329.42857142857144,2113.75,192.25,9.095209934949734
DE,Germany,12,16340.0,2000,2000-03-20,2334.285714285714,19564.75,-3224.75,-16.482449302955573
EE,Estonia,12,322.0,2000,2000-03-20,46.0,307.0,15.0,4.88599348534202
ES,Spain,12,6566.0,2000,2000-03-20,938.0,8202.25,-1636.25,-19.948794538084062
HR,Croatia,12,1004.0,2000,2000-03-20,143.42857142857142,1022.0,-18.0,-1.761252446183953
LV,Latvia,12,626.0,2000,2000-03-20,89.42857142857143,613.5,12.5,2.037489812550937
LT,Lithuania,12,778.0,2000,2000-03-20,111.14285714285714,778.25,-0.25,-0.032123353678124
LU,Luxembourg,12,90.0,2000,2000-03-20,12.857142857142858,89.25,0.75,0.8403361344537815
HU,Hungary,12,2588.0,2000,2000-03-20,369.7142857142857,2603.0,-15.0,-0.5762581636573185
NL,Netherlands,12,2542.0,2000,2000-03-20,363.14285714285717,3069.75,-527.75,-17.191953742161413
AT,Austria,12,1501.0,2000,2000-03-20,214.42857142857142,1574.0,-73.0,-4.637865311308768
PL,Poland,12,7128.0,2000,2000-03-20,1018.2857142857143,8184.25,-1056.25,-12.905886306014603
PT,Portugal,12,1995.0,2000,2000-03-20,285.0,2194.5,-199.5,-9.090909090909092
SI,Slovenia,12,345.0,2000,2000-03-20,49.285714285714285,418.75,-73.75,-17.611940298507463
SK,Slovakia,12,960.0,2000,2000-03-20,137.14285714285714,1074.25,-114.25,-10.63532697230626
FI,Finland,12,962.0,2000,2000-03-20,137.42857142857142,1105.75,-143.75,-13.000226090888537
SE,Sweden,12,1852.0,2000,2000-03-20,264.57142857142856,1779.0,73.0,4.1034288926363125
NO,Norway,12,769.0,2000,2000-03-20,109.85714285714286,825.25,-56.25,-6.8161163283853385
CH,Switzerland,12,1053.0,2000,2000-03-20,150.42857142857142,1316.0,-263.0,-19.984802431610944
BE,Belgium,13,1894.0,2000,2000-03-27,270.57142857142856,2216.0,-322.0,-14.530685920577618
BG,Bulgaria,13,2319.0,2000,2000-03-27,331.2857142857143,2085.0,234.0,11.223021582733812
DE,Germany,13,16238.0,2000,2000-03-27,2319.714285714286,18954.0,-2716.0,-14.32942914424396
EE,Estonia,13,324.0,2000,2000-03-27,46.285714285714285,316.75,7.25,2.2888713496448303
ES,Spain,13,6846.0,2000,2000-03-27,978.0,8250.25,-1404.25,-17.020696342535075
HR,Croatia,13,997.0,2000,2000-03-27,142.42857142857142,1025.75,-28.75,-2.8028271996100416
LV,Latvia,13,566.0,2000,2000-03-27,80.85714285714286,606.25,-40.25,-6.639175257731959
LT,Lithuania,13,768.0,2000,2000-03-27,109.71428571428571,768.25,-0.25,-0.03254149040026033
LU,Luxembourg,13,65.0,2000,2000-03-27,9.285714285714286,85.75,-20.75,-24.198250728862973
HU,Hungary,13,2525.0,2000,2000-03-27,360.7142857142857,2567.0,-42.0,-1.6361511492014025
NL,Netherlands,13,2557.0,2000,2000-03-27,365.2857142857143,3031.25,-474.25,-15.64536082474227
AT,Austria,13,1428.0,2000,2000-03-27,204.0,1626.5,-198.5,-12.204119274515831
PL,Poland,13,6919.0,2000,2000-03-27,988.4285714285714,8048.25,-1129.25,-14.031000528065107
PT,Portugal,13,2011.0,2000,2000-03-27,287.2857142857143,2180.0,-169.0,-7.752293577981652
SI,Slovenia,13,373.0,2000,2000-03-27,53.285714285714285,416.5,-43.5,-10.444177671068427
SK,Slovakia,13,986.0,2000,2000-03-27,140.85714285714286,1042.25,-56.25,-5.396977692492205
FI,Finland,13,893.0,2000,2000-03-27,127.57142857142857,1077.0,-184.0,-17.084493964716806
SE,Sweden,13,1732.0,2000,2000-03-27,247.42857142857142,1793.25,-61.25,-3.415586226125749
NO,Norway,13,808.0,2000,2000-03-27,115.42857142857143,778.25,29.75,3.8226790876967556
CH,Switzerland,13,1178.0,2000,2000-03-27,168.28571428571428,1280.5,-102.5,-8.004685669660288
BE,Belgium,14,1973.0,2000,2000-04-03,281.85714285714283,2108.75,-135.75,-6.437462951985773
BG,Bulgaria,14,2141.0,2000,2000-04-03,305.85714285714283,2099.25,41.75,1.988805525783018
DE,Germany,14,15915.0,2000,2000-04-03,2273.5714285714284,18495.25,-2580.25,-13.950879279815087
EE,Estonia,14,374.0,2000,2000-04-03,53.42857142857143,298.0,76.0,25.503355704697988
ES,Spain,14,6793.0,2000,2000-04-03,970.4285714285714,8078.25,-1285.25,-15.910005261040446
HR,Croatia,14,910.0,2000,2000-04-03,130.0,1023.75,-113.75,-11.11111111111111
LV,Latvia,14,601.0,2000,2000-04-03,85.85714285714286,587.0,14.0,2.385008517887564
LT,Lithuania,14,692.0,2000,2000-04-03,98.85714285714286,782.25,-90.25,-11.53723234260147
LU,Luxembourg,14,71.0,2000,2000-04-03,10.142857142857142,81.75,-10.75,-13.149847094801222
HU,Hungary,14,2591.0,2000,2000-04-03,370.14285714285717,2478.5,112.5,4.539035707080895
NL,Netherlands,14,2696.0,2000,2000-04-03,385.14285714285717,2928.0,-232.0,-7.923497267759563
AT,Austria,14,1475.0,2000,2000-04-03,210.71428571428572,1580.75,-105.75,-6.6898624070852435
PL,Poland,14,6818.0,2000,2000-04-03,974.0,7833.5,-1015.5,-12.963553966936875
