country,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01
Greece,10502.0,11530.142857142857,11382.714285714286,10086.142857142857,10180.0,9249.857142857143,10265.0,10939.42857142857,9758.714285714286,9719.285714285714,11684.857142857143,13799.0,11614.0,10159.0,12183.714285714286,12209.857142857143,11593.57142857143,11005.571428571428,12080.42857142857,13440.285714285714,10912.0,11227.571428571428,12919.714285714286,12675.142857142857,14110.285714285714,12559.42857142857,13109.714285714286,11872.42857142857,10761.857142857143,10419.714285714286,12278.57142857143,11890.142857142857,9687.857142857143,10201.714285714286,10779.714285714286,10010.57142857143
Hungary,9726.0,11183.714285714286,11875.857142857143,10811.42857142857,10008.0,9594.285714285714,9754.57142857143,10094.857142857143,9967.285714285714,11849.0,15657.0,17621.0,13982.571428571428,11870.0,17892.142857142855,15634.285714285714,11194.857142857143,10512.571428571428,10408.285714285714,9919.0,10260.142857142857,11881.714285714286,15751.0,14511.57142857143,12259.0,12474.857142857143,12444.57142857143,11309.57142857143,10267.714285714286,9947.285714285714,10781.0,10602.714285714286,10363.571428571428,11462.0,11059.0,10529.285714285714
Ireland,2537.285714285714,2658.714285714286,2799.285714285714,3502.142857142857,2830.5714285714284,2299.428571428572,2294.8571428571427,2311.0,2348.285714285714,2654.428571428572,2601.428571428572,2687.428571428572,3937.857142857143,3178.0,2664.5714285714284,2534.0,2657.714285714286,2339.5714285714284,2599.8571428571427,2585.8571428571427,2678.1428571428573,2948.285714285714,3038.8571428571427,2762.285714285714,2937.428571428572,2772.428571428572,2994.8571428571427,3024.1428571428573,2837.8571428571427,2612.142857142857,2749.142857142857,2705.8571428571427,2648.285714285714,2987.285714285714,3017.285714285714,3042.428571428572
Italy,51498.142857142855,56438.0,77160.85714285714,81776.28571428571,55493.71428571428,47405.57142857143,51562.28571428572,54098.28571428572,49581.857142857145,55865.857142857145,75201.28571428571,77712.0,74003.42857142858,59389.0,68377.71428571429,63372.57142857143,55073.857142857145,52032.28571428572,53841.857142857145,56632.28571428572,51183.28571428572,54611.142857142855,55034.42857142857,56482.42857142857,69658.42857142857,60578.857142857145,61661.142857142855,57240.857142857145,55323.42857142857,52069.857142857145,65105.42857142857,57294.28571428571,50359.142857142855,55086.857142857145,56869.42857142857,56722.71428571428
Latvia,2127.428571428572,2263.0,2354.5714285714284,2348.5714285714284,2337.428571428572,2208.0,2266.8571428571427,2256.714285714286,2084.142857142857,2407.142857142857,2459.428571428572,3108.285714285714,3591.428571428572,2824.0,2691.8571428571427,2556.142857142857,2708.428571428572,2633.428571428572,2560.285714285714,2335.714285714286,2545.8571428571427,3570.285714285714,3582.8571428571427,2608.5714285714284,2700.5714285714284,2744.428571428572,2957.5714285714284,2471.5714285714284,2344.285714285714,2303.8571428571427,2222.714285714286,2300.285714285714,2270.428571428572,2510.714285714286,2369.714285714286,2408.1428571428573
Lithuania,2963.428571428572,3165.5714285714284,3491.1428571428573,3394.0,3270.8571428571427,3291.714285714286,3276.0,3277.285714285714,3077.0,3537.285714285714,4060.142857142857,5576.714285714285,5197.285714285715,3675.0,3758.428571428572,3636.428571428572,3755.0,3544.5714285714284,3445.1428571428573,3430.714285714286,3885.142857142857,4721.571428571428,4322.428571428572,3867.0,3912.571428571429,3850.714285714286,3918.714285714286,3537.428571428572,3252.0,3190.714285714286,3133.857142857143,3405.1428571428573,3142.8571428571427,3552.8571428571427,3216.857142857143,3374.0
Luxembourg,300.42857142857144,346.42857142857144,384.4285714285714,423.1428571428572,348.57142857142856,317.1428571428572,314.57142857142856,384.0,330.42857142857144,360.57142857142856,486.4285714285714,522.7142857142857,443.57142857142856,361.0,427.0,354.42857142857144,330.7142857142857,326.1428571428572,334.57142857142856,318.1428571428571,344.42857142857144,392.57142857142856,422.0,380.4285714285714,374.8571428571428,393.1428571428571,387.0,394.57142857142856,332.57142857142856,334.1428571428572,369.7142857142857,357.1428571428571,326.1428571428572,380.7142857142857,367.1428571428571,325.7142857142857
Malta,335.8571428571429,327.57142857142856,366.7142857142857,337.42857142857144,294.4285714285714,267.0,281.2857142857143,329.1428571428572,295.85714285714283,320.1428571428572,385.8571428571429,464.8571428571428,437.4285714285714,403.0,426.0,287.1428571428572,324.42857142857144,270.7142857142857,317.85714285714283,373.8571428571429,293.57142857142856,300.42857142857144,322.85714285714283,344.2857142857143,449.0,407.8571428571428,394.8571428571429,373.8571428571428,298.42857142857144,305.85714285714283,337.1428571428572,292.7142857142857,292.42857142857144,328.1428571428572,329.42857142857144,307.42857142857144
Netherlands,11799.714285714286,12964.571428571428,14733.428571428572,19793.571428571428,13594.714285714286,11558.714285714286,11593.57142857143,12527.42857142857,11738.285714285714,13853.42857142857,15170.0,16182.285714285714,17221.714285714286,13939.0,13800.0,13498.142857142857,13138.714285714286,12206.142857142857,12578.857142857143,12860.285714285714,12695.285714285714,14106.571428571428,16736.428571428572,15794.142857142857,13455.428571428572,13262.42857142857,15428.285714285714,14544.142857142857,13530.0,12977.714285714286,13711.0,13328.285714285714,12742.285714285714,14654.142857142857,13999.857142857143,14152.285714285714
Norway,3266.714285714286,3410.142857142857,3632.142857142857,3542.0,3250.0,3004.428571428572,3130.428571428572,3273.0,3187.5714285714284,3347.8571428571427,3372.285714285714,3591.285714285714,3768.428571428572,3132.0,3360.5714285714284,3250.428571428572,3196.714285714286,3041.8571428571427,3293.8571428571427,3452.8571428571427,3451.285714285714,3696.428571428572,4019.571428571429,3821.142857142857,3648.714285714286,3718.285714285714,4256.428571428572,3760.142857142857,3612.714285714286,3515.1428571428573,3752.571428571429,3539.285714285714,3518.285714285714,3745.285714285714,3799.142857142857,3729.142857142857
Poland,30489.0,35080.42857142857,37105.57142857143,34415.57142857143,33760.42857142857,32682.14285714285,33145.28571428572,34982.857142857145,33394.142857142855,43125.28571428572,65161.0,55289.57142857143,49111.142857142855,39818.0,51088.42857142857,54398.57142857143,41003.28571428572,35067.42857142857,33909.42857142857,33018.57142857143,33938.0,38854.28571428572,49281.57142857143,52844.857142857145,44450.71428571429,41270.42857142857,39806.42857142857,36659.28571428571,34516.0,33074.71428571428,33454.42857142857,34831.28571428572,34615.857142857145,37013.0,33584.71428571428,34351.0
Portugal,9821.42857142857,10217.0,10320.571428571428,10775.42857142857,9450.57142857143,8758.142857142857,10188.142857142857,9223.857142857143,8989.857142857143,9474.857142857143,11161.142857142857,12691.0,19395.0,12747.0,9560.0,8438.42857142857,8580.857142857143,8216.714285714286,8753.857142857143,9209.57142857143,8547.857142857143,9320.714285714286,10338.57142857143,9999.714285714286,10986.857142857143,10653.0,10754.857142857143,10146.285714285714,10321.0,10244.857142857143,10640.142857142857,9215.57142857143,8750.0,9401.285714285716,10223.142857142857,10354.857142857143
Romania,19962.42857142857,22245.14285714286,22876.42857142857,22162.714285714286,21290.285714285717,20604.14285714286,21899.285714285717,23479.14285714286,21802.714285714286,25860.42857142857,33274.71428571429,35740.42857142857,29863.14285714285,24177.0,29759.42857142857,29895.571428571428,24321.42857142857,21284.42857142857,21317.857142857145,20709.14285714285,25294.285714285717,46471.857142857145,36455.28571428572,22896.85714285714,25381.285714285717,29631.571428571428,26248.14285714286,22426.0,20591.42857142857,19001.14285714286,20776.42857142857,22160.42857142857,19637.714285714286,21023.14285714286,20301.571428571428,18288.285714285717
Slovakia,4132.714285714285,4689.857142857143,5048.571428571428,4352.142857142857,4325.714285714286,4023.714285714286,4255.857142857143,4392.571428571428,4289.428571428572,5099.142857142857,5966.857142857143,6873.0,8942.42857142857,8040.0,7542.714285714286,5566.142857142857,4696.142857142857,4410.857142857143,4316.428571428572,4262.285714285714,4678.714285714286,5647.714285714285,7506.142857142857,6837.142857142857,5258.0,5172.0,5944.285714285715,4898.857142857143,4488.0,4393.571428571428,4688.285714285715,4756.0,4397.285714285715,4930.857142857143,4590.142857142857,4485.571428571428
Slovenia,1601.0,1935.0,1910.4285714285716,1742.5714285714284,1664.0,1542.571428571429,1606.0,1662.142857142857,1628.0,1910.857142857143,2875.5714285714284,3372.8571428571427,2652.714285714286,1859.0,1943.428571428572,1811.142857142857,1757.571428571429,1685.0,1553.2857142857142,1511.857142857143,1778.571428571429,1988.142857142857,2428.285714285714,1998.142857142857,1996.5714285714284,2148.0,2036.0,1837.7142857142856,1703.2857142857142,1613.2857142857142,1775.142857142857,1775.5714285714284,1582.2857142857142,1786.428571428571,1824.4285714285716,1857.7142857142856
Spain,35135.0,38060.142857142855,46035.0,71671.42857142857,37124.42857142857,30791.285714285717,33885.42857142857,36411.57142857143,34216.71428571429,38100.14285714286,42351.857142857145,41685.42857142857,51707.42857142857,40459.0,36638.142857142855,34413.142857142855,34141.142857142855,32335.285714285717,35073.71428571429,37944.0,32810.71428571428,34269.857142857145,36858.71428571428,36410.71428571428,44256.57142857143,38882.0,37856.42857142857,36766.57142857143,37993.0,36848.28571428571,44550.142857142855,38285.857142857145,32532.14285714286,35246.28571428572,35713.42857142857,35441.71428571428
Sweden,6779.714285714285,7417.428571428572,8035.714285714285,10230.714285714286,9300.428571428572,7276.285714285715,6944.714285714285,6865.285714285714,6500.571428571428,6940.857142857142,7725.142857142857,9566.571428571428,9906.285714285714,7348.0,7568.857142857143,7155.428571428572,7065.285714285715,6394.857142857143,6813.714285714285,6832.857142857143,6945.857142857143,7303.142857142857,7397.142857142857,7144.0,8302.142857142857,8007.142857142857,7795.857142857143,7034.714285714285,7087.285714285715,6734.857142857143,7073.0,7332.0,7075.857142857143,7360.285714285715,7333.857142857143,7768.285714285714
Switzerland,5109.428571428572,5783.0,6293.285714285715,7053.142857142857,5367.142857142857,4911.142857142857,5136.571428571428,5398.857142857143,5211.857142857143,5861.428571428572,8580.142857142857,9600.714285714286,7987.142857142857,5460.0,5597.142857142857,5385.571428571428,5415.142857142857,5055.714285714286,5251.857142857143,5526.285714285715,5699.571428571428,5835.714285714285,6330.857142857143,6532.714285714286,6256.285714285714,5977.857142857143,6772.571428571428,5975.142857142857,5545.0,5597.714285714285,6286.428571428572,5897.857142857143,5557.428571428572,6320.571428571428,6213.142857142857,6249.0
