country,year,deaths,avg_deaths,excess_deaths,excess_deaths_prc
Estonia,2021,18325.428571428572,15198.535714285714,3126.8928571428587,20.573645487464734
Estonia,2022,17164.857142857145,15198.535714285714,1966.3214285714312,12.937571523572542
Estonia,2023,6126.0,15198.535714285714,-9072.535714285714,-59.69348550964732
Finland,2000,48093.28571428572,52912.71428571429,-4819.4285714285725,-9.108261854428722
Finland,2001,47526.28571428572,52912.71428571429,-5386.4285714285725,-10.179837954150907
Finland,2002,48289.42857142857,52912.71428571429,-4623.285714285717,-8.737570500203844
Finland,2003,47712.71428571429,52912.71428571429,-5200.0,-9.827505676464474
Finland,2004,47292.71428571429,52912.71428571429,-5620.0,-10.621265750332757
Finland,2005,47080.0,52912.71428571429,-5832.71428571429,-11.023275529240886
Finland,2006,47083.0,52912.71428571429,-5829.71428571429,-11.017605814427542
Finland,2007,48101.71428571428,52912.71428571429,-4811.000000000007,-9.092332655667432
Finland,2008,47883.0,52912.71428571429,-5029.71428571429,-9.505681864202238
Finland,2009,49332.28571428571,52912.71428571429,-3580.4285714285797,-6.766669636517299
Finland,2010,50290.0,52912.71428571429,-2622.71428571429,-4.956680678961856
Finland,2011,49513.57142857143,52912.71428571429,-3399.1428571428623,-6.424056869939451
Finland,2012,50450.857142857145,52912.71428571429,-2461.857142857145,-4.652675970398692
Finland,2013,50414.42857142857,52912.71428571429,-2498.2857142857174,-4.721522507417882
Finland,2014,51297.28571428571,52912.71428571429,-1615.4285714285797,-3.0530064337763965
Finland,2015,51686.142857142855,52912.71428571429,-1226.5714285714348,-2.3181033993990217
Finland,2016,52985.42857142857,52912.71428571429,72.7142857142826,0.13742308761868688
Finland,2017,52521.142857142855,52912.71428571429,-391.5714285714348,-0.7400327763513612
Finland,2018,53345.71428571429,52912.71428571429,433.0,0.8183288380594456
Finland,2019,52798.57142857143,52912.71428571429,-114.14285714286234,-0.21571914932679864
Finland,2020,54576.142857142855,52912.71428571429,1663.4285714285652,3.1437218707898875
Finland,2021,56928.857142857145,52912.71428571429,4016.142857142855,7.590128216550703
Finland,2022,61611.42857142857,52912.71428571429,8698.714285714283,16.439743080923023
Finland,2023,21040.142857142855,52912.71428571429,-31872.571428571435,-60.23613012265484
France,2013,557689.4285714285,593358.6785714286,-35669.25000000012,-6.011414560561827
France,2014,546886.5714285715,593358.6785714286,-46472.10714285716,-7.832043049364927
France,2015,587441.1428571428,593358.6785714286,-5917.535714285797,-0.9972948787962226
France,2016,583099.2857142857,593358.6785714286,-10259.392857142957,-1.7290372969421275
France,2017,592354.4285714286,593358.6785714286,-1004.25,-0.1692483882460157
France,2018,597344.2857142857,593358.6785714286,3985.607142857043,0.6717028480063354
France,2019,600636.7142857143,593358.6785714286,7278.035714285681,1.2265828371817686
France,2020,658035.7142857143,593358.6785714286,64677.03571428568,10.900158378066067
France,2021,652327.0,593358.6785714286,58968.32142857136,9.938056618729094
France,2022,658422.0,593358.6785714286,65063.32142857136,10.965259931011362
France,2023,231653.0,593358.6785714286,-361705.67857142864,-60.95902725182546
Germany,2000,818739.0,917001.2857142857,-98262.28571428568,-10.715610462611904
Germany,2001,811003.7142857143,917001.2857142857,-105997.57142857136,-11.559151887775815
Germany,2002,823047.1428571428,917001.2857142857,-93954.14285714284,-10.245802739955652
Germany,2003,837538.5714285714,917001.2857142857,-79462.71428571432,-8.665496496421804
Germany,2004,808592.5714285714,917001.2857142857,-108408.71428571432,-11.822089671474215
Germany,2005,818303.5714285714,917001.2857142857,-98697.71428571432,-10.763094427815886
Germany,2006,805374.0,917001.2857142857,-111627.28571428568,-12.173078430019334
Germany,2007,809325.4285714286,917001.2857142857,-107675.85714285704,-11.742170793030503
Germany,2008,824195.7142857143,917001.2857142857,-92805.57142857136,-10.120549760874296
Germany,2009,844433.2857142857,917001.2857142857,-72568.0,-7.913620311172644
Germany,2010,848945.8571428572,917001.2857142857,-68055.42857142852,-7.421519427687352
