year,month,deaths,country,date,avg_deaths,excess_deaths,excess_deaths_prc,what_if_deaths,what_if_deaths_difference,what_if_deaths_sparkline
2020,11,15657.0,Hungary,2020-11-01,10406.428571428572,5250.571428571428,50.45507584597432,135896,-96466,149609.28597432905
2020,12,17621.0,Hungary,2020-12-01,9778.75,7842.25,80.19685542630704,135896,-96466,157692.86373002685
2021,1,2105.8571428571427,Hungary,2021-01-01,9853.971428571427,-7748.114285714286,-78.6293561116765,135896,-96466,114525.17004369522
2021,1,12337.0,Hungary,2021-01-01,9853.971428571427,2483.028571428571,25.198252191284727,135896,-96466,142744.68335957365
2021,2,11870.0,Hungary,2021-02-01,11932.357142857143,-62.35714285714312,-0.5225886395335634,135896,-96466,135753.96458848388
2021,3,17892.142857142855,Hungary,2021-03-01,12000.0,5892.142857142855,49.10119047619046,135896,-96466,149241.31076190475
2021,4,15634.285714285714,Hungary,2021-04-01,10421.428571428572,5212.857142857141,50.02056202878682,135896,-96466,149491.18859492804
2021,5,11194.857142857143,Hungary,2021-05-01,10208.785714285714,986.0714285714294,9.659047179250374,135896,-96466,138521.2517509428
2021,6,10512.571428571428,Hungary,2021-06-01,9691.285714285714,821.2857142857138,8.474476333672367,135896,-96466,138199.2948716815
2021,7,10408.285714285714,Hungary,2021-07-01,9941.714285714286,466.57142857142753,4.693068168755018,135896,-96466,137171.53838372228
2021,8,9919.0,Hungary,2021-08-01,10050.392857142857,-131.39285714285688,-1.3073405090774677,135896,-96466,135540.67530835682
2021,9,10260.142857142857,Hungary,2021-09-01,9837.428571428572,422.7142857142844,4.296999796694825,135896,-96466,137063.89016874327
2021,10,11881.714285714286,Hungary,2021-10-01,10813.107142857143,1068.6071428571431,9.88251691895088,135896,-96466,138581.9890384355
2021,11,15751.0,Hungary,2021-11-01,10406.428571428572,5344.571428571428,51.35836364884342,135896,-96466,149854.79237284645
2021,12,14511.57142857143,Hungary,2021-12-01,9778.75,4732.821428571429,48.39904311462538,135896,-96466,149050.47272621025
2022,1,12259.0,Hungary,2022-01-01,9853.971428571427,2405.028571428571,24.406693167946784,135896,-96466,142529.54394950258
2022,2,12474.857142857143,Hungary,2022-02-01,11932.357142857143,542.5,4.546461302700341,135896,-96466,137131.69181038352
2022,3,12444.57142857143,Hungary,2022-03-01,12000.0,444.57142857142935,3.704761904761912,135896,-96466,136902.92464761905
2022,4,11309.57142857143,Hungary,2022-04-01,10421.428571428572,888.1428571428569,8.52227553118574,135896,-96466,138212.28631117204
2022,5,10267.714285714286,Hungary,2022-05-01,10208.785714285714,58.92857142857247,0.5772338951743349,135896,-96466,136052.88755483722
2022,6,9947.285714285714,Hungary,2022-06-01,9691.285714285714,256.0,2.6415483718804817,135896,-96466,136613.95171509014
2022,7,10781.0,Hungary,2022-07-01,9941.714285714286,839.2857142857138,8.442062306012179,135896,-96466,138190.48499827567
2022,8,10602.714285714286,Hungary,2022-08-01,10050.392857142857,552.3214285714294,5.495520786323215,135896,-96466,137389.63858555636
2022,9,10363.571428571428,Hungary,2022-09-01,9837.428571428572,526.1428571428551,5.3483779152507696,135896,-96466,137349.64633034184
2022,10,11462.0,Hungary,2022-10-01,10813.107142857143,648.8928571428569,6.0009842552193575,135896,-96466,137527.0195126946
