location,date,weekly_cases,weekly_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,Daily hospital occupancy,Daily hospital occupancy per million,cum_excess_per_million_proj_all_ages,excess_per_million_proj_all_ages,estimated_daily_excess_deaths_by_economist,cumulative_estimated_daily_excess_deaths_by_economist,excess_deaths,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,All,Business & Utility Services,Grocery & Convenience Stores,Home Services,Lifestyle Services,Local Events,Manufacturing,Professional Services,Public Good,Restaurants,Retail,Travel,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
Belgium,2021-01-18,13332.0,370.7142857142857,139735.0,139353.0,663.0,1974.0,169.356,1493.4524,-2.4717054,8.099666,18900.36,40.0,-44.61242857142857,-8.612285714285715,12.449,-38.55085714285714,-9.245000000000001,-24.163285714285713,112.46163146942995,102.30869933324962,115.3319473597546,103.78161340540431,115.00260474787885,60.10809999249306,104.65481097632788,98.212488838384,83.0887333709921,110.19394915867788,150.46266921148558,91.10421661260753,-0.14067809523809519,0.25571238095238097
Belgium,2021-01-25,13686.0,361.42857142857144,263710.0,262478.0,1674.0,1960.0,168.155,1495.2695,1.8171772,9.766333,18968.723,29.5,-46.83671428571428,-10.347,12.081714285714286,-39.22457142857143,-8.795857142857143,-25.387571428571427,116.65618055263971,104.3630314701703,120.47419967855264,107.02376677126323,124.58015124324768,61.39332007106574,101.10385113649747,101.56016045446007,86.92915424142669,121.31372589414306,152.46480944741052,91.95318008743479,-0.11697999999999999,0.24374619047619048
Belgium,2021-02-01,15504.142857142857,348.57142857142856,353179.0,322232.0,31545.0,1928.0,165.409,1496.5183,1.2487711,-26.424145,18783.754,-201.5,-44.87771428571428,-7.530714285714287,12.0,-37.653000000000006,-5.6124285714285715,-25.142857142857142,121.24595620208035,104.03438059847156,129.4534881245781,110.5136255869364,127.63559068058912,67.2212108700548,106.86515133670946,109.61294506124068,93.72845854328281,128.63200173157904,154.77072829532014,94.75673388802707,-0.12372999999999997,0.24701619047619044
Belgium,2021-02-08,15950.0,291.57142857142856,495666.0,365239.0,131176.0,1794.0,153.913,1476.8739,-19.64446,-26.686049,18596.953,-204.75,-44.04071428571428,-5.694,12.12257142857143,-37.0,-8.204142857142857,-24.87757142857143,127.85097998467408,106.36663935679663,144.60073415658238,113.82494346150966,144.57688189250277,69.7852701248655,111.04557767047461,115.01417039944681,98.31579554819452,135.99257711238863,161.77764963785336,88.64476096460302,-0.13494619047619044,0.2503514285714285
Belgium,2021-02-15,13450.857142857143,292.85714285714283,647069.0,398489.0,249475.0,1674.0,143.618,1454.6975,-22.17645,-21.019382,18449.816,-115.5,-43.428428571428576,-4.551,13.449,-38.938857142857145,0.1632857142857145,-28.591714285714286,137.10728059800965,114.67696236335223,150.60772339771168,114.56752365197018,171.45455010789132,74.54542326652154,123.000635967495,128.13238752081492,103.94064502082306,136.87495468383833,171.73156520656065,109.90833450853195,-0.14832952380952377,0.25979571428571424
Belgium,2021-02-22,13596.57142857143,266.14285714285717,763801.0,455705.0,309079.0,1721.0,147.65,1437.4128,-17.284714,-42.18605,18154.514,-279.25,-36.08157142857143,-0.24485714285714286,12.53057142857143,-36.42857142857143,30.245,-32.04071428571429,123.63837768515724,106.93517366217898,128.8420579774752,109.66274128205495,154.43185536480368,71.73623101368767,106.7642444941703,100.47518842276791,99.38394596797814,124.45435328118442,155.5374153974476,100.31871386264278,-0.07934952380952379,0.23210142857142854
Belgium,2021-03-01,16399.0,183.57142857142858,892030.0,546658.0,346458.0,1937.0,166.182,1407.7954,-29.617403,-71.70786,17652.559,-505.25,-33.999857142857145,4.367571428571429,10.020285714285714,-26.87742857142857,56.57142857142857,-21.836857142857145,122.96388174974494,107.83552910490347,118.90444636211295,112.7429746352647,160.79443021518549,68.8706741235643,107.40332116358498,104.0039116807951,98.29908393797625,115.1680115923758,155.25560256619022,87.66323508672966,-0.04295047619047616,0.21141476190476188
Belgium,2021-03-08,16422.571428571428,187.14285714285714,1070570.0,693037.0,378730.0,1994.0,171.072,1362.7621,-45.033268,-38.565006,17382.604,-296.75,-33.75514285714286,5.714142857142858,9.734428571428571,-27.469428571428573,38.693714285714286,-19.12257142857143,133.73151430977435,116.77462146406597,130.76119994940225,113.85335988757062,193.02367885068563,70.96307834747141,118.4165822635732,117.85213259003004,106.32529895668942,123.68204548926607,165.62247481257145,93.31264983782259,-0.05143714285714281,0.2167028571428571
Belgium,2021-03-15,18382.285714285714,178.28571428571428,1279843.0,852831.0,428336.0,2112.0,181.195,1337.7091,-25.05293,-30.822151,17166.85,-234.75,-35.95928571428571,4.265428571428571,10.898,-30.918285714285712,11.224571428571428,-19.612428571428573,134.86201597298475,121.47295514757899,133.57876989258256,113.31291163343042,182.68075202772675,71.7325088206591,112.75138381816042,119.01157660252476,110.21306938940909,128.61244387819121,168.7354327153521,93.63982513044705,-0.10930714285714282,0.2377733333333333
Belgium,2021-03-22,25470.428571428572,172.28571428571428,1576375.0,1092473.0,485273.0,2372.0,203.502,1317.324,-20.38511,-25.62215,16987.494,-192.75,-37.95914285714286,2.734714285714286,11.102142857142857,-31.939,3.347,-19.612285714285715,131.1222227795211,118.08394117478856,132.855036249073,113.30111613582021,172.66343932946387,69.05784725871432,112.26126486868449,116.92948272008712,104.21081605268489,124.6349222996718,165.30730653650588,90.3567902975603,-0.08161428571428567,0.23082952380952376
Belgium,2021-03-29,32096.714285714286,189.85714285714286,1887493.0,1336229.0,552673.0,2820.0,241.937,1300.0737,-17.250265,2.5778491,17005.54,1.0,-33.694,5.6737142857142855,10.53057142857143,-28.898,36.36742857142857,-19.734714285714286,139.0013870207123,118.5372891617942,141.49741420587847,120.03205599938772,189.51022759139389,68.37509070890574,122.95739017783535,118.84078158068418,107.69332993761181,127.97021855299177,179.44122882288175,101.39613594697504,-0.05979190476190475,0.2248966666666666
Belgium,2021-04-05,32114.0,207.85714285714286,2228108.0,1611301.0,618848.0,3055.0,262.099,1299.824,-0.24975422,16.177849,17118.783,96.25,-37.46942857142857,5.489857142857143,11.755142857142857,-33.693714285714286,80.38771428571428,-29.06114285714286,133.64606241925406,116.80738087571441,157.4844408276792,117.35447804187172,135.30249337529918,70.244695092961,131.85160758450124,108.6532821708989,102.21517126578796,136.69756950194898,179.65763244041773,116.10774220843324,-0.11561380952380948,0.2491223809523809
Belgium,2021-04-12,25736.14285714286,290.14285714285717,2710623.0,2027617.0,685616.0,3215.0,275.825,1307.7731,7.949074,13.949278,17216.43,100.5,-43.0,1.0205714285714287,14.795857142857143,-42.53057142857143,38.38757142857143,-39.69385714285714,115.63858092679602,98.70093703106487,137.41705383643668,101.46647891991088,114.88704916052265,71.16088631984586,118.60398068543164,85.2668504988757,90.09414753220672,122.35665979689263,153.40559570048796,109.89987307855027,-0.15588523809523805,0.2624238095238095
Belgium,2021-04-19,25308.0,277.57142857142856,3218446.0,2446962.0,774194.0,3140.0,269.391,1314.3787,6.605568,26.77785,17403.873,184.75,-37.30614285714286,6.898000000000001,12.551,-36.795857142857145,58.591857142857144,-32.734857142857145,116.70788681575517,103.41829230843825,122.95985039901996,103.5296186837318,131.84845733703676,72.64444611265421,121.37651631138853,87.37659266161128,94.53200846794402,114.5112315855854,152.36327872760418,99.26385559159498,-0.0732638095238095,0.23322380952380947
Belgium,2021-04-26,25026.571428571428,275.14285714285717,3649038.0,2846332.0,805466.0,3103.0,266.217,1328.7179,14.339336,28.092134,17600.52,182.5,-35.38771428571429,9.591857142857142,10.081571428571428,-26.306142857142856,69.30614285714286,-19.734714285714286,122.83866649305081,114.65794076949184,134.15276554088322,110.1806708589393,134.92448157536472,72.82045266871857,128.22857142857143,110.19489676751206,103.91418497131083,117.8392504981099,153.57969485143798,97.63362008179381,-0.0127947619047619,0.20817619047619043
Belgium,2021-05-03,22261.571428571428,274.7142857142857,4119387.0,3224865.0,903117.0,2858.0,245.197,1343.8496,15.1316595,38.092136,17867.164,237.0,-29.857,11.979571428571429,9.46942857142857,-23.612285714285715,66.99985714285715,-18.530571428571427,132.8946782984928,117.29348827436847,158.72976182116636,115.93312057984227,159.0115057479204,76.74842979756275,132.73574372865386,112.75013299504849,106.91020531432845,132.8687785759368,165.77070315510923,104.2532788041179,-0.02945190476190474,0.21501761904761899
Belgium,2021-05-10,20931.714285714286,259.42857142857144,4862202.0,3736845.0,1153984.0,2605.0,223.492,1365.0099,21.16021,10.520706,17940.809,54.0,-24.653142857142857,15.408285714285714,9.224428571428572,-22.285714285714285,40.16328571428572,-18.16342857142857,139.8861797809532,118.05435202878353,165.17598251490836,118.20536234675315,164.2363025074104,81.88505617696369,133.0913202214109,114.59008145487664,110.73252194035993,163.52685084581694,170.6501979568283,121.63869693978282,0.004442380952380956,0.19943999999999998
Belgium,2021-05-17,17832.0,207.0,5496397.0,4065871.0,1467364.0,2108.0,180.852,1369.5485,4.5386367,10.520706,18014.453,44.5,-13.551,11.87742857142857,9.0,-18.347,73.408,-22.918285714285712,128.54065913790365,105.64804581096017,142.93115551000344,113.452849127806,144.06740806808617,83.50367840252234,130.83773407136968,104.82622504965673,101.77231359500414,172.45296416525022,148.1469877943638,116.63799182061769,-0.05032809523809523,0.22096476190476186
Belgium,2021-05-24,15825.57142857143,141.0,6212527.0,4466840.0,1800972.0,1753.0,150.396,1374.0872,4.5386367,7.520706,18067.098,19.75,-16.918285714285712,12.326714285714285,9.142857142857142,-20.163285714285713,57.836571428571425,-19.448857142857143,120.60789073136982,102.96811458707602,122.40706763337387,106.05439133129747,146.09313961971506,78.65312914445862,121.2611942056295,100.47920188281115,98.5548644165946,139.12956582903226,142.2647144250702,103.84995064165844,-0.05824047619047618,0.22432714285714286
Belgium,2021-05-31,13790.0,111.85714285714286,6915890.0,4758960.0,2238646.0,1547.0,132.722,1376.8173,2.730072,12.634992,18155.543,54.0,-16.755142857142857,12.265285714285714,8.999857142857142,-20.12257142857143,60.38771428571429,-17.979714285714284,119.91867448112251,100.85883117900315,128.1944411481968,106.33909175088918,146.5361806773115,78.37609163476216,115.96118242845365,96.68023898187175,91.42921950408753,137.1414872904721,144.41378132763796,102.49330136793118,0.05921619047619046,0.17971571428571426
Belgium,2021-06-07,11183.42857142857,96.42857142857143,7872377.0,5296781.0,2686711.0,1159.0,99.434,1382.6305,5.8132443,3.977849,18183.389,16.0,-2.632857142857143,22.693857142857144,5.857142857142857,-10.306,98.34685714285715,-7.367428571428571,125.519661695252,113.66247735746548,137.50190536705503,115.21305906663763,146.46413387385866,83.60736806546056,127.60391002237664,109.82253686349934,97.40037067734995,132.80737601297508,149.89823000153652,109.48808348610916,0.06101952380952377,0.17890142857142854
Belgium,2021-06-14,7057.285714285715,69.28571428571429,8936048.0,5820282.0,3278440.0,888.0,76.184,1383.2247,0.59424275,18.749277,18314.633,139.0,1.143,22.428428571428572,5.387857142857143,-9.551,92.30614285714286,-6.836571428571429,132.36465438383556,112.62157347121709,143.92316972826225,123.47794977851377,142.03933733452695,99.56494132072167,137.3294076080556,113.20632961996468,100.28033817162968,168.01242177861954,151.12473411355617,116.61542800733324,0.09372238095238092,0.16450904761904758
Belgium,2021-06-21,4000.8571428571427,45.857142857142854,9935380.0,6524787.0,3632730.0,651.0,55.851,1392.724,9.499272,-16.39358,18199.879,-148.25,1.7755714285714286,20.46957142857143,4.755285714285714,-8.612142857142857,90.63271428571429,-7.918285714285714,127.11885262797374,111.12732159796307,133.04969564284454,120.15001097548975,136.05898481155413,95.3716250031279,134.71063478977743,118.3935037558641,104.55154721657937,147.22105912598605,143.70078835617733,110.40473840078974,0.06285714285714282,0.17287190476190473
Belgium,2021-06-28,2571.8571428571427,36.857142857142854,10850639.0,7124620.0,3982096.0,450.0,38.607,1381.0372,-11.686774,8.406421,18258.723,28.75,1.7141428571428572,16.571428571428573,5.122571428571429,-11.755142857142857,66.449,-12.040571428571427,120.16734596317829,107.04296269405445,116.82683167858984,111.05300152311203,133.6603876602374,92.6033768736081,124.97072194087858,114.44247531328597,103.27310903488267,127.39394412875114,136.88358627533356,99.06360174869553,0.053685714285714226,0.17388190476190474
Belgium,2021-07-05,3061.8571428571427,24.714285714285715,11577448.0,7508589.0,4350332.0,328.0,28.14,1384.3013,3.2640293,-23.765009,18092.37,-124.75,4.938714285714285,16.87757142857143,4.183857142857143,-13.408142857142858,68.67342857142857,-16.77542857142857,118.88547502477755,101.00254988817044,113.50264818495285,106.76372966485648,127.72167257562369,93.481282686485,116.12455541161229,116.69045887751129,102.7643333460157,127.0469059395676,136.88895568840024,98.9959103088422,0.0439828571428571,0.17879571428571422
Belgium,2021-07-12,5540.285714285715,17.571428571428573,12478348.0,7694878.0,5080595.0,256.0,21.963,1368.1707,-16.130676,10.292135,18164.414,55.75,6.101857142857143,15.489857142857144,4.693714285714286,-16.06114285714286,80.10199999999999,-23.163285714285713,111.97623140226003,96.48069432547314,103.02722760346539,105.64583818679864,121.34786965197652,94.42778319945951,111.23778118007303,82.48819832893163,101.52024680754542,116.14863326456425,133.88582668925628,104.22507403751233,0.04756095238095236,0.17852714285714283
